,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,Name,Rotowire Name,Full Name,Starter
123,61800-102484:Brandon Bielak,61800-102484,P,Brandon,Brandon Bielak,Bielak,6.61904761904762,21.0,6000,HOU@CWS,HOU,CWS,,,,,,P,,,,
124,61800-104672:Devin Smeltzer,61800-104672,P,Devin,Devin Smeltzer,Smeltzer,23.0,1.0,6000,MIN@DET,MIN,DET,IL,Elbow,,,,P,,,,
125,61800-72265:Matt Strahm,61800-72265,P,Matt,Matt Strahm,Strahm,4.68421052631579,19.0,6000,SD@WSH,SD,WSH,IL,Knee,,,,P,,,,
126,61800-68490:Austin Voth,61800-68490,P,Austin,Austin Voth,Voth,6.83333333333333,30.0,6000,SD@WSH,WSH,SD,,,,,,P,,,,
127,61800-82840:Yonny Chirinos,61800-82840,P,Yonny,Yonny Chirinos,Chirinos,18.3333333333333,3.0,6000,TB@ATL,TB,ATL,IL,Elbow,,,,P,,,,
128,61800-68551:Tyler Beede,61800-68551,P,Tyler,Tyler Beede,Beede,0.0,1.0,6000,SF@STL,SF,STL,,,,,,P,,,,
129,61800-5369:Jon Lester,61800-5369,P,Jon,Jon Lester,Lester,13.6875,16.0,6000,SD@WSH,WSH,SD,,,,,,P,,,,
130,61800-38161:Chase Anderson,61800-38161,P,Chase,Chase Anderson,Anderson,10.9090909090909,11.0,6000,MIA@PHI,PHI,MIA,IL,Undisclosed,,,,P,,,,
131,61800-79123:Tyler Alexander,61800-79123,P,Tyler,Tyler Alexander,Alexander,6.77777777777778,27.0,6000,MIN@DET,DET,MIN,,,,,,P,,,,
132,61800-85531:Josh James,61800-85531,P,Josh,Josh James,James,6.07692307692308,13.0,6000,HOU@CWS,HOU,CWS,IL,Hamstring,,,,P,,,,
133,61800-79390:Michael Kopech,61800-79390,P,Michael,Michael Kopech,Kopech,13.6315789473684,19.0,6000,HOU@CWS,CWS,HOU,,,,,,P,,,,
134,61800-118392:Rony Garcia,61800-118392,P,Rony,Rony Garcia,Garcia,7.0,2.0,6000,MIN@DET,DET,MIN,IL,Knee,,,,P,,,,
135,61800-102330:Kris Bubic,61800-102330,P,Kris,Kris Bubic,Bubic,16.375,16.0,6000,BAL@KC,KC,BAL,,,,,,P,,,,
136,61800-102333:Daniel Lynch,61800-102333,P,Daniel,Daniel Lynch,Lynch,1.0,3.0,6000,BAL@KC,KC,BAL,,,,,,P,,,,
137,61800-149886:Cody Poteet,61800-149886,P,Cody,Cody Poteet,Poteet,19.125,8.0,5900,MIA@PHI,MIA,PHI,IL,Knee,,,,P,,,,
138,61800-82657:Wil Crowe,61800-82657,P,Wil,Wil Crowe,Crowe,16.2142857142857,14.0,5900,NYM@PIT,PIT,NYM,,,,,,P,,,,
139,61800-17164:Matt Shoemaker,61800-17164,P,Matt,Matt Shoemaker,Shoemaker,10.5625,16.0,5900,MIN@DET,MIN,DET,,,,,,P,,,,
140,61800-68505:Carson Fulmer,61800-68505,P,Carson,Carson Fulmer,Fulmer,4.6,20.0,5900,MIL@CIN,CIN,MIL,,,,,,P,,,,
141,61800-60637:Sean Newcomb,61800-60637,P,Sean,Sean Newcomb,Newcomb,5.25,24.0,5900,TB@ATL,ATL,TB,,,,,,P,,,,
142,61800-79180:Cody Ponce,61800-79180,P,Cody,Cody Ponce,Ponce,6.66666666666667,3.0,5900,NYM@PIT,PIT,NYM,,,,,,P,,,,
143,61800-79227:Adrian Morejon,61800-79227,P,Adrian,Adrian Morejon,Morejon,8.5,2.0,5900,SD@WSH,SD,WSH,IL,Elbow,,,,P,,,,
144,61800-114708:Randy Dobnak,61800-114708,P,Randy,Randy Dobnak,Dobnak,7.84615384615385,13.0,5800,MIN@DET,MIN,DET,IL,Finger,,,,P,,,,
145,61800-135236:Max Kranick,61800-135236,P,Max,Max Kranick,Kranick,22.5,2.0,5800,NYM@PIT,PIT,NYM,,,,,,P,,,,
146,61800-39127:Jerad Eickhoff,61800-39127,P,Jerad,Jerad Eickhoff,Eickhoff,11.2,5.0,5800,NYM@PIT,NYM,PIT,,,,,,P,,,,
147,61800-68469:Adam Plutko,61800-68469,P,Adam,Adam Plutko,Plutko,6.16129032258065,31.0,5800,BAL@KC,BAL,KC,,,,,,P,,,,
148,61800-68520:Michael Fulmer,61800-68520,P,Michael,Michael Fulmer,Fulmer,9.25,24.0,5800,MIN@DET,DET,MIN,IL,Neck,,,,P,,,,
149,61800-68528:Chase De Jong,61800-68528,P,Chase,Chase De Jong,De Jong,16.5555555555556,9.0,5800,NYM@PIT,PIT,NYM,,,,,,P,,,,
150,61800-23834:Collin McHugh,61800-23834,P,Collin,Collin McHugh,McHugh,12.5238095238095,21.0,5800,TB@ATL,TB,ATL,,,,,,P,,,,
151,61800-79217:Mitch Keller,61800-79217,P,Mitch,Mitch Keller,Keller,16.8333333333333,12.0,5800,NYM@PIT,PIT,NYM,,,,,,P,,,,
152,61800-5599:Trevor Cahill,61800-5599,P,Trevor,Trevor Cahill,Cahill,15.1111111111111,9.0,5800,NYM@PIT,PIT,NYM,IL,Calf,,,,P,,,,
153,61800-135250:Daniel Castano,61800-135250,P,Daniel,Daniel Castano,Castano,13.0,4.0,5700,MIA@PHI,MIA,PHI,IL,Shoulder,,,,P,,,,
154,61800-102489:Carlos Hernandez,61800-102489,P,Carlos,Carlos Hernandez,Hernandez,10.4166666666667,12.0,5700,BAL@KC,KC,BAL,,,,Yes,,P,,,,
155,61800-53608:Jose Urena,61800-53608,P,Jose,Jose Urena,Urena,15.2352941176471,17.0,5700,MIN@DET,DET,MIN,IL,Groin,,,,P,,,,
156,61800-68542:Robert Gsellman,61800-68542,P,Robert,Robert Gsellman,Gsellman,5.75,16.0,5700,NYM@PIT,NYM,PIT,IL,Lat,,,,P,,,,
157,61800-13438:Drew Pomeranz,61800-13438,P,Drew,Drew Pomeranz,Pomeranz,6.0,18.0,5700,SD@WSH,SD,WSH,,,,,,P,,,,
158,61800-79085:Keegan Akin,61800-79085,P,Keegan,Keegan Akin,Akin,11.6153846153846,13.0,5700,BAL@KC,BAL,KC,,,,,,P,,,,
159,61800-79133:Matt Manning,61800-79133,P,Matt,Matt Manning,Manning,9.6,5.0,5700,MIN@DET,DET,MIN,,,,,,P,,,,
160,61800-79161:Braxton Garrett,61800-79161,P,Braxton,Braxton Garrett,Garrett,12.3333333333333,3.0,5700,MIA@PHI,MIA,PHI,,,,,,P,,,,
161,61800-79235:Nick Neidert,61800-79235,P,Nick,Nick Neidert,Neidert,13.8,5.0,5700,MIA@PHI,MIA,PHI,,,,,,P,,,,
162,61800-52887:Tyler Matzek,61800-52887,P,Tyler,Tyler Matzek,Matzek,5.32432432432432,37.0,5700,TB@ATL,ATL,TB,,,,,,P,,,,
163,61800-79882:Austin Pruitt,61800-79882,P,Austin,Austin Pruitt,Pruitt,6.0,1.0,5600,HOU@CWS,HOU,CWS,,,,,,P,,,,
164,61800-135192:Ryan Thompson,61800-135192,P,Ryan,Ryan Thompson,Thompson,5.66666666666667,36.0,5600,TB@ATL,TB,ATL,IL,Shoulder,,,,P,,,,
165,61800-71742:Grant Dayton,61800-71742,P,Grant,Grant Dayton,Dayton,4.15384615384615,13.0,5600,TB@ATL,ATL,TB,IL,Shoulder,,,,P,,,,
166,61800-145922:Tyler Wells,61800-145922,P,Tyler,Tyler Wells,Wells,8.64285714285714,28.0,5600,BAL@KC,BAL,KC,,,,,,P,,,,
167,61800-119426:Johan Oviedo,61800-119426,P,Johan,Johan Oviedo,Oviedo,16.4166666666667,12.0,5600,SF@STL,STL,SF,,,,,,P,,,,
168,61800-17074:Matt Harvey,61800-17074,P,Matt,Matt Harvey,Harvey,13.2222222222222,18.0,5600,BAL@KC,BAL,KC,,,,Yes,,P,,,,
169,61800-52141:Lucas Sims,61800-52141,P,Lucas,Lucas Sims,Sims,6.92857142857143,28.0,5600,MIL@CIN,CIN,MIL,IL,Elbow,,,,P,,,,
170,61800-52195:Daniel Norris,61800-52195,P,Daniel,Daniel Norris,Norris,4.17647058823529,34.0,5600,MIN@DET,DET,MIN,,,,,,P,,,,
171,61800-38002:Kyle Zimmer,61800-38002,P,Kyle,Kyle Zimmer,Zimmer,5.76470588235294,34.0,5600,BAL@KC,KC,BAL,,,,,,P,,,,
172,61800-83165:Lewis Thorpe,61800-83165,P,Lewis,Lewis Thorpe,Thorpe,9.75,4.0,5600,MIN@DET,MIN,DET,IL,Shoulder,,,,P,,,,
173,61800-73301:Brent Suter,61800-73301,P,Brent,Brent Suter,Suter,7.48648648648649,37.0,5600,MIL@CIN,MIL,CIN,,,,,,P,,,,
174,61800-118391:Brandon Bailey,61800-118391,P,Brandon,Brandon Bailey,Bailey,5.6,5.0,5600,MIL@CIN,CIN,MIL,IL,Elbow,,,,P,,,,
175,61800-110219:Sean Poppen,61800-110219,P,Sean,Sean Poppen,Poppen,4.66666666666667,3.0,5600,TB@ATL,TB,ATL,,,,,,P,,,,
176,61800-155315:Spenser Watkins,61800-155315,P,Spenser,Spenser Watkins,Watkins,16.3333333333333,3.0,5600,BAL@KC,BAL,KC,,,,,,P,,,,
177,61800-53043:Jesse Hahn,61800-53043,P,Jesse,Jesse Hahn,Hahn,0.8,5.0,5600,BAL@KC,KC,BAL,IL,Shoulder,,,,P,,,,
178,61800-81925:Richard Rodriguez,61800-81925,P,Richard,Richard Rodriguez,Rodriguez,5.6,35.0,5500,NYM@PIT,PIT,NYM,,,,,,P,,,,
179,61800-79895:Miguel Diaz,61800-79895,P,Miguel,Miguel Diaz,Diaz,10.0,16.0,5500,SD@WSH,SD,WSH,,,,,,P,,,,
180,61800-81949:Jace Fry,61800-81949,P,Jace,Jace Fry,Fry,1.0,3.0,5500,HOU@CWS,CWS,HOU,,,,,,P,,,,
181,61800-135198:Daniel Tillo,61800-135198,P,Daniel,Daniel Tillo,Tillo,,,5500,BAL@KC,KC,BAL,IL,Elbow,,,,P,,,,
182,61800-135196:Tyler Zuber,61800-135196,P,Tyler,Tyler Zuber,Zuber,3.15,20.0,5500,BAL@KC,KC,BAL,,,,,,P,,,,
