,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
199,DeeJay Dallas,SEA,23,,1,0,1,1,100.0%,5,5.0,0,0,5,5.0,1.0,5.0,0
200,AJ Dillon ,GNB,23,,1,0,2,1,50.0%,7,7.0,0,0,7,3.5,1.0,7.0,0
201,Devin Duvernay,BAL,24,wr,1,1,2,1,50.0%,6,6.0,0,0,6,3.0,1.0,6.0,1
202,Eric Ebron,PIT,28,te,1,1,2,1,50.0%,19,19.0,0,1,19,9.5,1.0,19.0,0
203,D'Wayne Eskridge,SEA,24,,1,0,1,1,100.0%,6,6.0,0,0,6,6.0,1.0,6.0,0
204,Darren Fells,DET,35,te,1,1,1,1,100.0%,2,2.0,0,0,2,2.0,1.0,2.0,0
205,Pat Freiermuth,PIT,23,te,1,1,1,1,100.0%,24,24.0,0,1,24,24.0,1.0,24.0,0
206,Zach Gentry,PIT,25,,1,0,1,1,100.0%,-2,-2.0,0,0,-2,-2.0,1.0,-2.0,0
207,Jimmy Graham,CHI,35,te,1,1,2,1,50.0%,11,11.0,0,1,11,5.5,1.0,11.0,0
208,Najee Harris,PIT,23,rb,1,1,3,1,33.3%,4,4.0,0,0,4,1.3,1.0,4.0,0
209,Jamycal Hasty,SFO,25,,1,0,1,1,100.0%,15,15.0,0,1,15,15.0,1.0,15.0,0
210,Darrell Henderson,LAR,24,rb,1,1,1,1,100.0%,17,17.0,0,1,17,17.0,1.0,17.0,0
211,Chris Hogan,NOR,34,,1,0,1,1,100.0%,10,10.0,1,1,10,10.0,1.0,10.0,0
212,Amani Hooker,TEN,23,db,1,1,1,1,100.0%,6,6.0,0,1,6,6.0,1.0,6.0,0
213,Justin Jackson,LAC,25,,1,0,1,1,100.0%,2,2.0,0,0,2,2.0,1.0,2.0,0
214,Josh Jacobs,LVR,23,rb,1,1,2,1,50.0%,6,6.0,0,0,6,3.0,1.0,6.0,0
216,Ty Johnson,NYJ,24,,1,0,3,1,33.3%,11,11.0,0,0,11,3.7,1.0,11.0,0
217,Tyron Johnson,JAX,25,,1,0,1,1,100.0%,6,6.0,0,0,6,6.0,1.0,6.0,0
218,Tony Jones,NOR,24,,1,0,1,1,100.0%,3,3.0,0,1,3,3.0,1.0,3.0,0
219,Kyle Juszczyk,SFO,30,fb,1,1,1,1,100.0%,7,7.0,0,0,7,7.0,1.0,7.0,0
220,Marcedes Lewis,GNB,37,te,1,1,1,1,100.0%,19,19.0,0,1,19,19.0,1.0,19.0,0
221,Chris Manhertz,JAX,29,te,1,1,1,1,100.0%,22,22.0,1,1,22,22.0,1.0,22.0,0
222,Alexander Mattison,MIN,23,,1,0,1,1,100.0%,4,4.0,0,0,4,4.0,1.0,4.0,0
223,Denzel Mims,NYJ,24,,1,0,1,1,100.0%,40,40.0,0,1,40,40.0,1.0,40.0,0
224,David Montgomery,CHI,24,rb,1,1,1,1,100.0%,10,10.0,0,1,10,10.0,1.0,10.0,0
225,Ty Montgomery,NOR,28,,1,0,1,1,100.0%,5,5.0,0,0,5,5.0,1.0,5.0,0
226,Elijah Moore,NYJ,21,wr,1,1,4,1,25.0%,-3,-3.0,0,0,-3,-0.8,1.0,-3.0,0
227,Josh Palmer,LAC,23,,1,0,1,1,100.0%,17,17.0,0,1,17,17.0,1.0,17.0,0
228,Donovan Peoples-Jones,CLE,22,wr,1,1,1,1,100.0%,4,4.0,0,1,4,4.0,1.0,4.0,0
229,Samaje Perine,CIN,26,,1,0,1,1,100.0%,7,7.0,0,0,7,7.0,1.0,7.0,0
230,Byron Pringle,KAN,28,,1,0,2,1,50.0%,6,6.0,0,0,6,3.0,1.0,6.0,0
231,Mike Remmers,KAN,32,,1,0,1,1,100.0%,-2,-2.0,0,0,-2,-2.0,1.0,-2.0,0
