entry_id,contest_id,contest_name,P,C/1B,2B,3B,SS,OF,OF,OF,UTIL,"","Instructions"
"2579332778","64523-249008707","$2K Sat MLB Bunt (Single Entry)","64523-101804","64523-49523","64523-13378","64523-61553","64523-60672","64523-82536","64523-79082","64523-53401","64523-11334","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"","","","","","","","","","","","","","4) You can not use this form to create new entries"
"","","","","","","","","","","","",""
"","","","","","","","","","","","","",Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
"","","","","","","","","","","","","",64523-79224:Chris Paddack,64523-79224,P,Chris,Chris Paddack,Paddack,21.208333333333332,24,7300,ATL@SD,SD,ATL,IL,Elbow,,,,P
"","","","","","","","","","","","","",64523-68564:Erick Fedde,64523-68564,P,Erick,Erick Fedde,Fedde,23.307692307692307,26,7200,WSH@CIN,WSH,CIN,,,,Yes,,P
"","","","","","","","","","","","","",64523-85265:Taylor Widener,64523-85265,P,Taylor,Taylor Widener,Widener,16.65,20,7200,LAD@ARI,ARI,LAD,,,,,,P
"","","","","","","","","","","","","",64523-13664:Patrick Corbin,64523-13664,P,Patrick,Patrick Corbin,Corbin,22.466666666666665,30,7200,WSH@CIN,WSH,CIN,,,,,,P
"","","","","","","","","","","","","",64523-141024:Bruce Zimmermann,64523-141024,P,Bruce,Bruce Zimmermann,Zimmermann,22.833333333333332,12,7200,TEX@BAL,BAL,TEX,IL,Ankle,,,,P
"","","","","","","","","","","","","",64523-102343:Tony Gonsolin,64523-102343,P,Tony,Tony Gonsolin,Gonsolin,19.125,16,7100,LAD@ARI,LAD,ARI,,,,,,P
"","","","","","","","","","","","","",64523-6266:Carlos Carrasco,64523-6266,P,Carlos,Carlos Carrasco,Carrasco,19.6,10,7000,NYM@MIL,NYM,MIL,,,,,,P
"","","","","","","","","","","","","",64523-145612:Bailey Ober,64523-145612,P,Bailey,Bailey Ober,Ober,23.1,20,7000,TOR@MIN,MIN,TOR,,,,,,P
"","","","","","","","","","","","","",64523-82631:Taylor Hearn,64523-82631,P,Taylor,Taylor Hearn,Hearn,11.341463414634147,41,7000,TEX@BAL,TEX,BAL,,,,,,P
"","","","","","","","","","","","","",64523-60627:Touki Toussaint,64523-60627,P,Touki,Touki Toussaint,Toussaint,22.636363636363637,11,7000,ATL@SD,ATL,SD,NA,Personal,,,,P
"","","","","","","","","","","","","",64523-85251:Zac Gallen,64523-85251,P,Zac,Zac Gallen,Gallen,27.333333333333332,21,7000,LAD@ARI,ARI,LAD,,,,Yes,,P
"","","","","","","","","","","","","",64523-79185:Justin Dunn,64523-79185,P,Justin,Justin Dunn,Dunn,21.90909090909091,11,7000,SEA@LAA,SEA,LAA,IL,Shoulder,,,,P
"","","","","","","","","","","","","",64523-38272:Mike Foltynewicz,64523-38272,P,Mike,Mike Foltynewicz,Foltynewicz,19.115384615384617,26,7000,TEX@BAL,TEX,BAL,,,,,,P
"","","","","","","","","","","","","",64523-12864:Michael Pineda,64523-12864,P,Michael,Michael Pineda,Pineda,23.952380952380953,21,6900,TOR@MIN,MIN,TOR,,,,,,P
"","","","","","","","","","","","","",64523-68467:Chris Ellis,64523-68467,P,Chris,Chris Ellis,Ellis,18.142857142857142,7,6900,TEX@BAL,BAL,TEX,,,,Yes,,P
"","","","","","","","","","","","","",64523-68483:Trevor Williams,64523-68483,P,Trevor,Trevor Williams,Williams,19,21,6900,NYM@MIL,NYM,MIL,,,,,,P
"","","","","","","","","","","","","",64523-81051:Caleb Smith,64523-81051,P,Caleb,Caleb Smith,Smith,13.35,40,6900,LAD@ARI,ARI,LAD,NA,Suspension,,,,P
"","","","","","","","","","","","","",64523-66765:Jorge Lopez,64523-66765,P,Jorge,Jorge Lopez,Lopez,14.93939393939394,33,6900,TEX@BAL,BAL,TEX,IL,Ankle,,,,P
"","","","","","","","","","","","","",64523-79155:Jaime Barria,64523-79155,P,Jaime,Jaime Barria,Barria,17.5,12,6900,SEA@LAA,LAA,SEA,,,,Yes,,P
